property_id,city,area,property_type,purpose,bedrooms,bathrooms,size_sqft,area_sqft_normalized,price_pkr,price_formatted,developer,has_installment_plan,description,source_url,amenities,qa_flags
LAH-0011,Lahore,Bahria Orchard Phase 4,House,Sale,2,2,1125,1125.0,5500000,55.00 lac,Private / Unknown,False,"5 Marla Town House For Sale At Reasonable Price In Bahria Orchard Lahore in Bahria Orchard Phase 4, Bahria Orchard · 2 bed · 2 bath · 5 Marla",https://www.zameen.com/Property/bahria_orchard_bahria_orchard_phase_4_5_marla_town_house_for_sale_at_reasonable_price_in_bahria_orchard_lahore-53798452-11201-1.html,,price_per_sqft_outlier
LAH-0012,Lahore,Bahria Town - Sector B,Studio,Sale,1,1,292,292.5,5200000,52.00 lac,Bahria Town,False,"STUDIO APARTMENT FOR SALE IN BAHIRA TOWN LAHORE in Bahria Town - Sector B, Bahria Town · 1 bed · 1 bath · 1.3 Marla",https://www.zameen.com/Property/bahria_town_bahria_town_-_sector_b_studio_apartment_for_sale_in_bahira_town_lahore-51428228-1772-1.html,,
LAH-0013,Lahore,Hamza Town,House,Sale,3,3,675,675.0,5900000,59.00 lac,Private / Unknown,False,"Modern House in Hamza Town, Lahore · 3 bed · 3 bath · 3 Marla",https://www.zameen.com/Property/lahore_hamza_town_modern_house-54779595-8941-1.html,,price_per_sqft_outlier
LAH-0014,Lahore,Canal Bank Housing Scheme,House,Sale,3,3,900,900.0,20500000,2.05 crore,Private / Unknown,False,"Brand New, Double Story, 04 Marla, Beautiful House For Sale In Canal Bank Society, Lahore in Canal Bank Housing Scheme, Lahore · 3 bed · 3 bath · 4 Marla",https://www.zameen.com/Property/lahore_canal_bank_housing_scheme_brand_new_double_story_04_marla_beautiful_house_for_sale_in_canal_bank_society_lahore-54125827-9354-1.html,brand_new,
LAH-0015,Lahore,Paragon City,House,Sale,3,4,1350,1350.0,22500000,2.25 crore,Paragon,False,"6 Marla House For Sale In Paragon City Lahore in Paragon City, Lahore · 3 bed · 4 bath · 6 Marla",https://www.zameen.com/Property/lahore_paragon_city_6_marla_house_for_sale_in_paragon_city_lahore-50701901-1014-1.html,,
LAH-0016,Lahore,Paragon City,House,Sale,5,6,2250,2250.0,45000000,4.50 crore,Paragon,False,"10 Marla House For Sale In Paragon City Lahore in Paragon City, Lahore · 5 bed · 6 bath · 10 Marla",https://www.zameen.com/Property/lahore_paragon_city_10_marla_house_for_sale_in_paragon_city_lahore-50797108-1014-1.html,,shared_description
LAH-0017,Lahore,Hamza Town,House,Sale,3,3,675,675.0,8500000,85.00 lac,Private / Unknown,False,"3 Marla Double Story Modern Spanish House in Hamza Town, Lahore · 3 bed · 3 bath · 3 Marla",https://www.zameen.com/Property/lahore_hamza_town_3_marla_double_story_modern_spanish_house-54766442-8941-1.html,,
LAH-0018,Lahore,DHA Phase 6,House,Sale,5,6,4500,4500.0,82500000,8.25 crore,DHA,False,"1 Kanal House For Sale Very Reasonable Price Near To Defence Raya in DHA Phase 6, DHA Defence · 5 bed · 6 bath · 1 Kanal",https://www.zameen.com/Property/dha_defence_dha_phase_6_1_kanal_house_for_sale_very_reasonable_price_near_to_defence_raya-54727163-1448-1.html,,
LAH-0019,Lahore,DHA Phase 6,House,Sale,6,6,9000,9000.0,289500000,28.95 crore,DHA,False,"2 Kanal Fully Furnished Corner Most Luxurious Modern Design Bungalow For Sale At Prime Location Of DHA Lahore Near To Defence Raya in DHA Phase 6, DHA Defence · 6 bed · 6 bath · 2 Kanal",https://www.zameen.com/Property/dha_defence_dha_phase_6_2_kanal_fully_furnished_corner_most_luxurious_modern_design_bungalow_for_sale_at_prime_location_of_dha_lahore_near_to_defence_raya-54727160-1448-1.html,furnished|corner,
LAH-0020,Lahore,DHA Phase 6 - Block K,House,Sale,5,6,4500,4500.0,135100000,13.51 crore,DHA,False,"Mazir Munir Designed 1 Kanal Brand New Modern Style Luxurious Bungalow For Sale in DHA Phase 6 Near To Defence Raya & Big Park in DHA Phase 6 - Block K, DHA Phase 6 · 5 bed · 6 bath · 1 Kanal",https://www.zameen.com/Property/dha_phase_6_dha_phase_6_-_block_k_mazir_munir_designed_1_kanal_brand_new_modern_style_luxurious_bungalow_for_sale_in_dha_phase_6_near_to_defence_raya_big_park-54705687-1619-1.html,park|brand_new,
LAH-0021,Lahore,DHA Phase 5 - Block B,House,Sale,5,6,4500,4500.0,149500000,14.95 crore,DHA,False,"100 % Original Picture Defence 1 Kanal Brand New Victorian Design Fully Furnished Bungalow For Sale Phase 5 in DHA Phase 5 - Block B, DHA Phase 5 · 5 bed · 6 bath · 1 Kanal",https://www.zameen.com/Property/dha_phase_5_dha_phase_5_-_block_b_100_original_picture_defence_1_kanal_brand_new_victorian_design_fully_furnished_bungalow_for_sale_phase_5-54704573-1599-1.html,furnished|brand_new,
LAH-0022,Lahore,Bahria Town - Sector E,Flat,Sale,2,2,742,742.5,15000000,1.50 crore,Bahria Town,False,"2 Beds New Apartment For Sale In Sector E Bahria Town Lahore in Bahria Town - Sector E, Bahria Town · 2 bed · 2 bath · 3.3 Marla",https://www.zameen.com/Property/bahria_town_bahria_town_-_sector_e_2_beds_new_apartment_for_sale_in_sector_e_bahria_town_lahore-50795476-1802-1.html,,
LAH-0023,Lahore,DHA 9 Town,House,Sale,3,3,1125,1125.0,25500000,2.55 crore,DHA,False,"Modern Stone Edge Designed 5 Marla House In DHA 9 Town in DHA 9 Town, DHA Defence · 3 bed · 3 bath · 5 Marla",https://www.zameen.com/Property/dha_defence_dha_9_town_modern_stone_edge_designed_5_marla_house_in_dha_9_town-54738055-1452-1.html,,
LAH-0024,Lahore,DHA Phase 3,House,Sale,3,4,1125,1125.0,28000000,2.80 crore,DHA,False,"5 Marla House At Good Location in DHA Phase 3 5 Mint Away From Park in DHA Phase 3, DHA Defence · 3 bed · 4 bath · 5 Marla",https://www.zameen.com/Property/dha_defence_dha_phase_3_5_marla_house_at_good_location_in_dha_phase_3_5_mint_away_from_park-54778640-1454-1.html,park,
LAH-0025,Lahore,Bahria Town - Sector E,Flat,Sale,1,1,450,450.0,6500000,65.00 lac,Bahria Town,False,"Ready To Move Apartment Available For Sale In Sector E Bahria Town Lahore in Bahria Town - Sector E, Bahria Town · 1 bed · 1 bath · 2 Marla",https://www.zameen.com/Property/bahria_town_bahria_town_-_sector_e_ready_to_move_apartment_available_for_sale_in_sector_e_bahria_town_lahore-53875117-1802-1.html,,
LAH-0026,Lahore,Johar Town,Other,Sale,5,6,2700,2700.0,45000000,4.50 crore,Private / Unknown,False,"12 Marla Facing Park Owner Build Neat And Clean All Original Picture Attached With Direct Owner Available For Sale In Johar Town in Johar Town, Lahore · 5 bed · 6 bath · 12 Marla",https://www.zameen.com/Property/lahore_johar_town_12_marla_facing_park_owner_build_neat_and_clean_all_original_picture_attached_with_direct_owner_available_for_sale_in_johar_town-54779047-93-1.html,park,
LAH-0027,Lahore,Johar Town Phase 2,Other,Sale,,1,292,292.5,7773999,77.74 lac,Private / Unknown,False,"299 Sqft Brand New Luxury Modern Style Facing Canal Near Doctor Hospital Available For Sale In Johar Town in Johar Town Phase 2, Johar Town · 1 bath · 1.3 Marla",https://www.zameen.com/Property/johar_town_johar_town_phase_2_299_sqft_brand_new_luxury_modern_style_facing_canal_near_doctor_hospital_available_for_sale_in_johar_town-54699028-3961-1.html,brand_new,bedrooms_missing
LAH-0028,Lahore,Park View City,House,Sale,4,4,1125,1125.0,16500000,1.65 crore,Park View,False,"On Excellent Location 5 Marla House For Sale Available In Park View City in Park View City, Lahore · 4 bed · 4 bath · 5 Marla",https://www.zameen.com/Property/lahore_park_view_city_on_excellent_location_5_marla_house_for_sale_available_in_park_view_city-54705476-1466-1.html,,
LAH-0029,Lahore,DHA Phase 7,House,Sale,7,6,9000,9000.0,167500000,16.75 crore,DHA,False,"2 Kanal Fully Furnished With Basement Faisal Rasoo Design Bungalow For Sale In Phase 7 Dha in DHA Phase 7, DHA Defence · 7 bed · 6 bath · 2 Kanal",https://www.zameen.com/Property/dha_defence_dha_phase_7_2_kanal_fully_furnished_with_basement_faisal_rasoo_design_bungalow_for_sale_in_phase_7_dha-54661808-1450-1.html,basement|furnished,
LAH-0030,Lahore,Central Park Housing Scheme,House,Sale,4,5,1125,1125.0,22000000,2.20 crore,Private / Unknown,False,"5 Marla Beautiful Ultra Modern House For Sale In Central Park Housing Society Lahore in Central Park Housing Scheme, Lahore · 4 bed · 5 bath · 5 Marla",https://www.zameen.com/Property/lahore_central_park_housing_scheme_5_marla_beautiful_ultra_modern_house_for_sale_in_central_park_housing_society_lahore-54721869-1013-1.html,park,
LAH-0031,Lahore,Park View City,House,Sale,4,4,1125,1125.0,18000000,1.80 crore,Park View,False,"5 Marla Modern Design House For Sale In Parkview City, Lahore in Park View City, Lahore · 4 bed · 4 bath · 5 Marla",https://www.zameen.com/Property/lahore_park_view_city_5_marla_modern_design_house_for_sale_in_parkview_city_lahore-54732104-1466-1.html,,
LAH-0032,Lahore,Bahria Town - Jinnah Block,House,Sale,5,7,2250,2250.0,53000000,5.30 crore,Bahria Town,False,"Luxurious Designer Owner-Built 10 Marla Modern Brand New House for Sale in Jinnah Block, Bahria Town Lahore | Ajmair Group in Bahria Town - Jinnah Block, Bahria Town - Sector E · 5 bed · 7 bath · 10 Marla",https://www.zameen.com/Property/bahria_town_sector_e_bahria_town_-_jinnah_block_luxurious_designer_owner-built_10_marla_modern_brand_new_house_for_sale_in_jinnah_block_bahria_town_lahore_ajmair_group-54433704-1804-1.html,brand_new,
LAH-0033,Lahore,Bahria Town - Sector E,House,Sale,5,6,2250,2250.0,36500000,3.65 crore,Bahria Town,False,"A TEN MARLA LAVISH HOUSE AVAILABLE AT PRIME LOCATION OF RAFI BLOCK BLOCK SECTER E, BAHRIA TOWN LAHORE in Bahria Town - Sector E, Bahria Town · 5 bed · 6 bath · 10 Marla",https://www.zameen.com/Property/bahria_town_bahria_town_-_sector_e_a_ten_marla_lavish_house_available_at_prime_location_of_rafi_block_block_secter_e_bahria_town_lahore-54711257-1802-1.html,,
LAH-0034,Lahore,Bahria Town - Nishtar Extension Block,House,Sale,5,7,2250,2250.0,49000000,4.90 crore,Bahria Town,False,"10 Marla Brand New House Available For Sale In Bahria Town Lahore | AJMAIR GROUP in Bahria Town - Nishtar Extension Block, Bahria Town - Sector E · 5 bed · 7 bath · 10 Marla",https://www.zameen.com/Property/bahria_town_sector_e_bahria_town_-_nishtar_extension_block_10_marla_brand_new_house_available_for_sale_in_bahria_town_lahore_ajmair_group-53559368-14414-1.html,brand_new,
LAH-0035,Lahore,Al-Kabir Phase 2 - Block E,House,Sale,3,3,675,675.0,13500000,1.35 crore,Private / Unknown,False,"Brand New 3 Marla House Available In Al-Kabir Phase 2 - Block E For Sale in Al-Kabir Phase 2 - Block E, Al-Kabir Town - Phase 2 · 3 bed · 3 bath · 3 Marla",https://www.zameen.com/Property/al_kabir_town_phase_2_al-kabir_phase_2_-_block_e_brand_new_3_marla_house_available_in_al-kabir_phase_2_-_block_e_for_sale-54287758-13022-1.html,brand_new,
LAH-0036,Lahore,DHA Phase 7 - Block U,House,Sale,6,6,4500,4500.0,72500000,7.25 crore,DHA,False,"100% Original Deal | DHA Phase 7 | 1 Kanal Brand New Ultramodern Luxury Bungalow | Architect: Mazhar Munir | Holizin Home Furniture | Top Notch Construction | Imported Tiles Architect World & Mona Lisa | Hot Location | Near Park in DHA Phase 7 - Block U, DHA Phase 7 · 6 bed · 6 bath · 1 Kanal",https://www.zameen.com/Property/dha_phase_7_dha_phase_7_-_block_u_100_original_deal_dha_phase_7_1_kanal_brand_new_ultramodern_luxury_bungalow_architect_mazhar_munir_holizin_home_furniture_top_notch_construction_imported_tiles_architect_world_mona_lisa_hot_location_near_park-53245949-1628-1.html,park|brand_new,
LAH-0037,Lahore,Park View City - Rose Block,House,Sale,4,4,1125,1125.0,24000000,2.40 crore,Park View,False,"5 Marla Brand Luxury House at Ideal Location in Rose Block Park View City Lahore in Park View City - Rose Block, Park View City · 4 bed · 4 bath · 5 Marla",https://www.zameen.com/Property/park_view_city_park_view_city_-_rose_block_5_marla_brand_luxury_house_at_ideal_location_in_rose_block_park_view_city_lahore-54255531-13322-1.html,,
LAH-0038,Lahore,Bahria Town - Sector F,Flat,Sale,1,1,990,990.0,23000000,2.30 crore,Bahria Town,False,"Luxury 1 Bed Furnished Apartment, Alexa Controlled & Eiffel Tower Facing SQ 99 Mall, Bahria Town Lahore in Bahria Town - Sector F, Bahria Town · 1 bed · 1 bath · 4.4 Marla",https://www.zameen.com/Property/bahria_town_bahria_town_-_sector_f_luxury_1_bed_furnished_apartment_alexa_controlled_eiffel_tower_facing_sq_99_mall_bahria_town_lahore-54784058-3097-1.html,furnished,
LAH-0039,Lahore,Aamir Town,House,Sale,3,3,2250,2250.0,27500000,2.75 crore,Private / Unknown,False,"10 Marla Single Storey House For Sale In Amir Town Harbanspura Lahore in Aamir Town, Harbanspura · 3 bed · 3 bath · 10 Marla",https://www.zameen.com/Property/harbanspura_aamir_town_10_marla_single_storey_house_for_sale_in_amir_town_harbanspura_lahore-53451068-3879-1.html,,
LAH-0040,Lahore,DHA Phase 5,House,Sale,3,4,1125,1125.0,29500000,2.95 crore,DHA,False,"05 MARLA FULLY RENOVATED ULTRA LUXURY HOUSE GAS INSTALLED IN DHA LAHORE PHASE 5 in DHA Phase 5, DHA Defence · 3 bed · 4 bath · 5 Marla",https://www.zameen.com/Property/dha_defence_dha_phase_5_05_marla_fully_renovated_ultra_luxury_house_gas_installed_in_dha_lahore_phase_5-54754565-1447-1.html,,
LAH-0041,Lahore,DHA 9 Town,House,Sale,3,4,1125,1125.0,25400000,2.54 crore,DHA,False,"O5 MARLA ULTRA LUXURY DESIGNER HOUSE ON PRIME LOCATION WALKING DISTANCE PARK & EASY EXCESS TO MAIN ROAD IN DHA LAHORE in DHA 9 Town, DHA Defence · 3 bed · 4 bath · 5 Marla",https://www.zameen.com/Property/dha_defence_dha_9_town_o5_marla_ultra_luxury_designer_house_on_prime_location_walking_distance_park_easy_excess_to_main_road_in_dha_lahore-54750350-1452-1.html,park,
LAH-0042,Lahore,DHA Phase 8 - Ex Park View,House,Sale,4,5,2250,2250.0,50000000,5.00 crore,DHA,False,"DHA PHASE 8 VILLA 10 MARLA in DHA Phase 8 - Ex Park View, DHA Phase 8 · 4 bed · 5 bath · 10 Marla",https://www.zameen.com/Property/dha_phase_8_dha_phase_8_-_ex_park_view_dha_phase_8_villa_10_marla-54772925-485-1.html,park,
LAH-0043,Lahore,Bahria Town - Sector D,Studio,Sale,,1,315,315.0,5800000,58.00 lac,Bahria Town,False,"STUDIO APARTMENT FOR SALE IN Bahria Town Lahore in Bahria Town - Sector D, Bahria Town · 1 bath · 1.4 Marla",https://www.zameen.com/Property/bahria_town_bahria_town_-_sector_d_studio_apartment_for_sale_in_bahria_town_lahore-53854204-1796-1.html,,bedrooms_missing
LAH-0044,Lahore,Paragon City,House,Sale,3,4,1125,1125.0,21000000,2.10 crore,Paragon,False,"5 Marla House For Sale In Paragon City Lahore in Paragon City, Lahore · 3 bed · 4 bath · 5 Marla",https://www.zameen.com/Property/lahore_paragon_city_5_marla_house_for_sale_in_paragon_city_lahore-50886192-1014-1.html,,
LAH-0045,Lahore,Bahria Town - Sector D,Studio,Sale,,1,292,292.5,5220000,52.20 lac,Bahria Town,False,"A Beautifully Designed Studio Apartment Is Available For Sale In A Prime And Highly Accessible Location. in Bahria Town - Sector D, Bahria Town · 1 bath · 1.3 Marla",https://www.zameen.com/Property/bahria_town_bahria_town_-_sector_d_a_beautifully_designed_studio_apartment_is_available_for_sale_in_a_prime_and_highly_accessible_location-53798740-1796-1.html,,bedrooms_missing
LAH-0046,Lahore,Paragon City - Orchard 1 Block,House,Sale,3,4,1125,1125.0,26500000,2.65 crore,Paragon,False,"5 Marla House For Sale In Paragon City Lahore in Paragon City - Orchard 1 Block, Paragon City · 3 bed · 4 bath · 5 Marla",https://www.zameen.com/Property/paragon_city_paragon_city_-_orchard_1_block_5_marla_house_for_sale_in_paragon_city_lahore-50755431-9249-1.html,,
LAH-0047,Lahore,Paragon City,House,Sale,5,6,2250,2250.0,48000000,4.80 crore,Paragon,False,"10 Marla House For Sale In Paragon City Lahore in Paragon City, Lahore · 5 bed · 6 bath · 10 Marla",https://www.zameen.com/Property/lahore_paragon_city_10_marla_house_for_sale_in_paragon_city_lahore-50764871-1014-1.html,,shared_description
LAH-0048,Lahore,Al Hafeez Garden - Phase 5,House,Sale,3,4,1125,1125.0,24000000,2.40 crore,Private / Unknown,False,"5 Marla Double Story Owner Build House For Sale in Al Hafeez Garden - Phase 5, Main Canal Bank Road · 3 bed · 4 bath · 5 Marla",https://www.zameen.com/Property/main_canal_bank_road_al_hafeez_garden_-_phase_5_5_marla_double_story_owner_build_house_for_sale-54758774-18829-1.html,garden_lawn,
LAH-0049,Lahore,Tulspura,House,Sale,4,4,1125,1125.0,17500000,1.75 crore,Private / Unknown,False,"5 Marla Double Storey House For Sale in Tulspura, Lahore · 4 bed · 4 bath · 5 Marla",https://www.zameen.com/Property/lahore_tulspura_5_marla_double_storey_house_for_sale-54695734-12166-1.html,,
LAH-0050,Lahore,Hamza Town Phase 2,House,Sale,3,3,562,562.5,6800000,68.00 lac,Private / Unknown,False,"2.5 Marla Brand New Low Budget House For Sale in Hamza Town Phase 2, Hamza Town · 3 bed · 3 bath · 2.5 Marla",https://www.zameen.com/Property/hamza_town_hamza_town_phase_2_2_5_marla_brand_new_low_budget_house_for_sale-54750195-18665-1.html,brand_new,
LAH-0051,Lahore,DHA Phase 6 - Block F,Commercial,Sale,5,6,4500,4500.0,125000000,12.50 crore,DHA,False,"One Kanal Brand New Luxury Ultra-Modern Design Most Beautiful Bungalow 2 Servant Quarter In Basement For Sale At Prime Location Of DHA Lahore Near To Park Masjid & Commercial Market in DHA Phase 6 - Block F, DHA Phase 6 · 5 bed · 6 bath · 1 Kanal",https://www.zameen.com/Property/dha_phase_6_dha_phase_6_-_block_f_one_kanal_brand_new_luxury_ultra-modern_design_most_beautiful_bungalow_2_servant_quarter_in_basement_for_sale_at_prime_location_of_dha_lahore_near_to_park_masjid_commercial_market-54707464-1615-1.html,basement|park|servant_quarter|mosque|brand_new,
LAH-0052,Lahore,MM Alam Road,Other,Sale,2,4,1575,1575.0,47500000,4.75 crore,Private / Unknown,False,"Premium Brand-New Residence Ready To Move in MM Alam Road, Gulberg · 2 bed · 4 bath · 7 Marla",https://www.zameen.com/Property/gulberg_mm_alam_road_premium_brand-new_residence_ready_to_move-54546007-3850-1.html,brand_new,
LAH-0053,Lahore,Air Avenue - Block M,House,Sale,5,6,2250,2250.0,56000000,5.60 crore,DHA,False,"10 MARLA MODERN DESIGNE TOP LOCATION BUNGALOW DHA LAHORE FOR SALE in Air Avenue - Block M, DHA Phase 8 - Ex Air Avenue · 5 bed · 6 bath · 10 Marla",https://www.zameen.com/Property/dha_phase_8_ex_air_avenue_air_avenue_-_block_m_10_marla_modern_designe_top_location_bungalow_dha_lahore_for_sale-54030599-8182-1.html,,
LAH-0054,Lahore,DHA Phase 6 - Block L,House,Sale,5,6,4500,4500.0,82500000,8.25 crore,DHA,False,"Modern & Luxurious 1 Kanal Fully Furnished House for Sale in DHA Phase 6, Block L in DHA Phase 6 - Block L, DHA Phase 6 · 5 bed · 6 bath · 1 Kanal",https://www.zameen.com/Property/dha_phase_6_dha_phase_6_-_block_l_modern_luxurious_1_kanal_fully_furnished_house_for_sale_in_dha_phase_6_block_l-54782573-1620-1.html,furnished,
LAH-0055,Lahore,Park View City,House,Sale,4,5,1125,1125.0,17500000,1.75 crore,Park View,False,"5 Marla Luxury House For Sale In ParkView City Lahore in Park View City, Lahore · 4 bed · 5 bath · 5 Marla",https://www.zameen.com/Property/lahore_park_view_city_5_marla_luxury_house_for_sale_in_parkview_city_lahore-52411579-1466-1.html,,
LAH-0056,Lahore,Bahria Town - Ghouri Block,House,Sale,5,7,4500,4500.0,97500000,9.75 crore,Bahria Town,False,"1 Kanal Spanish Style House For Sale In Ghouri Block, Bahria Town Lahore Hot Location Near Park, Market & More Chowk | Ajmair Group in Bahria Town - Ghouri Block, Bahria Town - Sector B · 5 bed · 7 bath · 1 Kanal",https://www.zameen.com/Property/bahria_town_sector_b_bahria_town_-_ghouri_block_1_kanal_spanish_style_house_for_sale_in_ghouri_block_bahria_town_lahore_hot_location_near_park_market_more_chowk_ajmair_group-54783587-1776-1.html,park,
LAH-0057,Lahore,Al-Kabir Town - Phase 2,House,Sale,3,4,675,675.0,16500000,1.65 crore,Private / Unknown,False,"Modern Design 3 Marla Brand New House For Sale In AL-Kabir Town Phase 2 in Al-Kabir Town - Phase 2, Al-Kabir Town · 3 bed · 4 bath · 3 Marla",https://www.zameen.com/Property/al_kabir_town_al-kabir_town_-_phase_2_modern_design_3_marla_brand_new_house_for_sale_in_al-kabir_town_phase_2-54719819-11704-1.html,brand_new,
LAH-0058,Lahore,Central Park Housing Scheme,House,Sale,5,6,2250,2250.0,42500000,4.25 crore,Private / Unknown,False,"10 Marla Beautiful House For Sale in Central Park Housing Scheme, Lahore · 5 bed · 6 bath · 10 Marla",https://www.zameen.com/Property/lahore_central_park_housing_scheme_10_marla_beautiful_house_for_sale-54734153-1013-1.html,park,
LAH-0059,Lahore,Bahria Town - Iqbal Block,House,Sale,5,6,2250,2250.0,57500000,5.75 crore,Bahria Town,False,"10 Marla Ultra Advance Modern Smart Features Designer Brand New House Available For Sale Meeting With Direct Owner5 Marla Ultra Advance Modern Smart Features Designer Brand New House Available For Sale Meeting With Direct Owner in Bahria Town - Iqbal Block, Bahria Town - Sector E · 5 bed · 6 bath · 10 Marla",https://www.zameen.com/Property/bahria_town_sector_e_bahria_town_-_iqbal_block_10_marla_ultra_advance_modern_smart_features_designer_brand_new_house_available_for_sale_meeting_with_direct_owner5_marla_ultra_advance_modern_smart_features_designer_brand_new_house_available_for_sale_meeting_with_direct_owner-54686194-1805-1.html,brand_new,
LAH-0060,Lahore,New Iqbal Park Cantt,House,Sale,3,3,1350,1350.0,30000000,3.00 crore,Private / Unknown,False,"Prime Location 6 Marla House In New Iqbal Park Cantt For Sale in New Iqbal Park Cantt, Cantt · 3 bed · 3 bath · 6 Marla",https://www.zameen.com/Property/cantt_new_iqbal_park_cantt_prime_location_6_marla_house_in_new_iqbal_park_cantt_for_sale-54684572-8398-1.html,park,
LAH-0061,Lahore,Park View City - Platinum Block,House,Sale,4,4,1125,1125.0,20000000,2.00 crore,Park View,False,"On Excellent Location House For sale In Rs. 20000000 in Park View City - Platinum Block, Park View City · 4 bed · 4 bath · 5 Marla",https://www.zameen.com/Property/park_view_city_park_view_city_-_platinum_block_on_excellent_location_house_for_sale_in_rs_20000000-54021566-16617-1.html,,
LAH-0062,Lahore,DHA 9 Town,House,Sale,3,4,1125,1125.0,28000000,2.80 crore,DHA,False,"5 Marla Modern House for Sale Prime Location in DHA 9 Town, DHA Defence · 3 bed · 4 bath · 5 Marla",https://www.zameen.com/Property/dha_defence_dha_9_town_5_marla_modern_house_for_sale_prime_location-54730896-1452-1.html,,
